city,state,median household income (dollars)_2017,monthly cost_2017,owner occupied income_2017,owner occupied cost_2017,renter occupied income_2017,renter occupied cost_2017
liberal,ks,47942,740,55927,744,36745,722
liberty,ny,31094,842,53636,1138,17384,738
liberty,tx,51612,961,60357,997,37647,916
ligonier,in,49522,669,55325,670,36786,668
ligonier,pa,51600,743,62316,832,20804,701
lihue,hi,71411,1380,95250,1671,48116,1199
lillington,nc,27298,655,52222,621,15375,663
lima,oh,41599,683,58047,721,24403,656
lincoln,il,53164,712,64401,740,36523,686
lincoln,ne,52981,895,75308,1059,31521,788
lincoln,nd,78060,1189,81000,1191,63750,1125
lincoln city,or,38511,846,49894,851,29600,845
lincolnton,nc,38816,705,49129,703,25825,705
lindale--hideaway,tx,63171,920,69860,884,36473,973
lindsay,ca,31573,762,47183,811,21960,736
lindsay,ok,40404,541,39455,419,40990,691
lindsborg,ks,52708,806,70893,1014,29000,624
lindstrom--chisago city,mn,72296,1105,78972,1171,35847,794
linton,in,38367,591,42731,579,25870,606
lisbon,oh,33466,639,46434,625,24167,653
litchfield,ct,76000,1308,106029,1774,28938,1000
litchfield,il,40567,640,53125,676,17906,589
litchfield,mn,53036,715,61750,709,31131,719
little falls,mn,37784,712,58701,762,18750,576
little falls,ny,39534,619,54659,666,26193,592
littlefield,tx,43026,620,43972,487,35430,680
little rock,ar,50581,878,68020,947,32447,828
littlestown,pa,63438,1140,72931,1294,45750,869
littleton,nh,36813,674,53750,917,24327,642
live oak (sutter county),ca,49813,989,62423,1050,26088,921
live oak,fl,36039,669,45208,614,23708,677
livermore,ca,108561,2173,132301,2430,57334,1768
livermore falls,me,41190,663,55521,740,16389,589
livingston,mt,39102,698,55825,739,32098,683
livingston,tn,26396,475,46250,530,13935,455
livingston,tx,38976,662,49603,654,24264,655
livonia,la,43110,504,50250,510,32188,495
llano,tx,41369,698,49417,647,35125,753
lochbuie,co,53797,1016,59093,936,35870,1183
lockhart,tx,53489,950,65994,1042,37083,843
lock haven,pa,39718,744,58497,787,25207,709
lockport,ny,44627,784,63342,924,28678,648
locust,nc,55057,941,65571,1041,36033,851
lodi,ca,52709,1163,69875,1329,36862,1059
lodi,oh,35519,585,40893,586,26115,584
lodi,wi,67730,883,92357,1456,41055,751
logan,oh,34800,612,50753,714,20061,577
logan,ut,51770,871,71954,1035,30089,745
logan,wv,40612,530,47719,441,20670,638
logansport,in,36639,629,44633,616,26780,635
lolo,mt,57928,779,59709,781,22049,685
lompoc,ca,54493,1231,78473,1424,39620,1134
london,oh,52065,805,65313,898,37382,764
london--corbin,ky,30171,586,44504,622,19567,577
long beach,md,95523,1716,99295,1774,44423,1664
longmont,co,66364,1251,84670,1348,41269,1142
long neck,de,54488,945,56441,904,38813,1064
long prairie,mn,38051,651,43958,613,26250,664
longview,tx,45915,818,61150,811,29989,822
longview,wa--or,41272,848,57490,952,26857,791
lonoke,ar,42596,649,47813,733,22798,598
loogootee,in,44219,607,56635,674,24861,547
lorain--elyria,oh,44560,770,58219,823,24917,720
los alamos,nm,94831,1028,122207,1113,72115,980
los angeles--long beach--anaheim,ca,63769,1535,93566,1916,45143,1380
los banos,ca,46852,1182,62778,1283,36294,1114
los lunas,nm,43671,779,50232,775,25116,786
los molinos,ca,41006,692,44805,797,33208,647
louisa,ky--wv,25368,534,45945,564,13272,511
louisburg,ks,57067,1122,80321,1292,29643,927
louisburg,nc,23895,689,49557,848,16828,636
louisiana,mo,34874,641,49250,638,29956,647
louisville,ga,27639,639,33500,690,23226,604
louisville,ms,28135,605,36583,565,16875,621
louisville/jefferson county,ky--in,53455,883,70476,980,31894,797
lovington,nm,52094,548,57176,440,41281,729
lowell,in,66010,1059,70259,1086,46023,975
lowell,mi,68727,905,73821,957,42045,836
lowville,ny,48203,758,77642,898,26288,642
lubbock,tx,47634,910,68259,940,31158,895
lucasville,oh,49231,821,61354,935,9451,528
lucedale,ms,39063,593,43472,561,29100,619
ludington,mi,42549,749,52191,799,25943,678
lufkin,tx,43778,753,57658,657,28012,789
lula,ga,49474,904,56034,793,30395,935
luling,tx,34413,554,53075,442,24629,640
lumberton,nc,33503,655,51837,662,20835,649
luray,va,36976,751,54327,663,27107,829
luverne,mn,51045,685,61599,708,30750,649
lykens,pa,39554,684,44750,669,23750,715
lynchburg,va,46493,843,63135,868,30556,829
lynden,wa,59814,1172,67849,1182,41986,1156
lyndonville,vt,34006,661,47054,981,24688,637
lyons,ks,48300,615,55487,641,20547,555
lytle,tx,47500,643,62631,544,21984,881
mabton,wa,38393,763,42500,650,28750,814
mcalester,ok,41776,681,48904,625,27598,705
mcallen,tx,37304,644,46196,583,24488,703
macclenny,fl,56615,879,63160,1026,31447,784
mccomb,ms,28376,564,39914,464,16549,619
mcconnelsville,oh,30030,558,45580,532,21458,577
mccook,ne,40152,610,50942,627,23065,596
mcfarland,ca,35174,913,40167,946,26577,876
mcgehee,ar,22544,470,41623,487,16063,448
mcgregor,tx,40000,759,45625,914,31955,672
mckenzie,tn,35167,597,39947,494,28854,670
mackinaw,il,78781,1064,85938,1182,23188,705
mckinney,tx,91234,1582,109010,1750,55912,1244
mcleansboro,il,40197,476,41667,456,22895,504
mcminnville,or,51460,1028,65348,1142,36582,910
mcminnville,tn,32903,565,41183,449,25272,619
macomb,il,37914,701,75248,714,15784,684
macon,ga,35207,791,55871,838,22434,765
macon,ms,20119,529,32102,532,14399,512
macon,mo,36952,570,53150,644,21983,484
mcpherson,ks,53264,796,67286,913,36864,731
mcrae,ga,27002,495,28150,446,26027,513
madera,ca,42462,1033,61340,1095,30805,984
madill,ok,44350,577,48923,438,30536,656
madison,fl,23706,535,29709,521,14643,546
madison,ga,49544,804,53649,706,43641,857
madison,in--ky,42959,662,53615,597,29695,705
madison,sd,49620,589,59146,646,27586,534
madison,wv,35481,580,46701,536,18844,597
madison,wi,64850,1172,95084,1478,38670,986
madisonville,ky,39824,653,50313,635,23254,672
madisonville,tn,33470,584,46125,579,21116,587
madisonville,tx,37628,757,40000,696,27304,791
madras,or,36946,845,51585,880,29640,828
magee,ms,31731,621,43472,589,22468,642
magnolia,ar,33655,684,52634,625,23957,691
magnolia,tx,59130,1093,85335,1308,35563,941
mahomet,il,81732,1346,95188,1486,41085,1031
maiden,nc,49564,744,59077,777,31440,735
malakoff,tx,26250,596,33750,493,14851,707
malden,mo,33125,598,37341,569,25577,663
malone,ny,35205,703,58214,811,19077,659
malvern,ar,31578,585,39375,506,18695,651
mammoth lakes,ca,63526,1224,90015,1885,55127,1143
mamou,la,29455,490,27018,406,30909,619
manchester,ga,24630,719,51472,686,18896,728
manchester,ia,51205,666,67232,757,23558,527
manchester,ky,27824,508,46681,513,15741,507
manchester,md,93092,1621,98148,1784,50385,948
manchester,nh,63945,1250,88657,1577,41648,1079
manchester,tn,49995,717,60797,740,45216,714
mandeville--covington,la,74989,1219,89114,1306,38214,1095
mangum,ok,33371,423,35904,383,25127,584
manhattan,ks,47696,935,83773,1081,33543,900
manila,ar,35652,565,65888,583,18866,563
manistee,mi,38768,631,49401,643,24004,609
manistique,mi,29248,587,39911,551,18869,619
manitowoc,wi,43504,687,53376,742,31005,649
mankato,mn,50734,893,73648,1042,32222,818
mannford,ok,45069,772,54000,746,33977,785
manning,sc,27377,639,39893,726,17785,604
mansfield,la,26643,504,38203,399,15198,559
mansfield,oh,40190,647,52619,681,25785,624
mansfield,pa,44018,747,66615,785,24375,738
manteca,ca,70035,1447,84548,1616,46189,1281
manteo,nc,47097,905,55365,1074,41409,836
manti,ut,47348,736,52989,761,37946,702
many,la,25076,496,51250,647,14167,457
maquoketa,ia,45731,600,55404,602,24112,599
marana west,az,71429,1223,78685,1258,45529,1114
marathon,fl,57049,1292,69318,1341,36854,1268
marble falls,tx,49094,849,68769,933,31184,802
marengo,il,62188,1067,73008,1239,48214,898
marianna,ar,18429,523,42303,556,11690,490
marianna,fl,25905,610,45703,565,14375,652
maricao,pr,13813,140,17708,149,7188,287
maricopa,az,68827,1235,72943,1194,57038,1315
marietta,oh--wv,41085,663,60485,674,22635,653
marinette--menominee,wi--mi,36316,665,47855,670,23750,664
marion,in,35723,636,45459,603,24902,672
marion,ky,30568,491,35208,493,23170,494
marion,nc,36429,550,41250,455,32156,603
marion,oh,38564,692,53368,674,23806,703
marion,sc,33399,525,41864,552,13491,515
marion,va,31103,521,44278,479,16897,566
marion oaks,fl,47748,926,52132,822,36407,973
marks,ms,23072,428,26616,389,15588,478
marksville,la,24738,442,35845,362,17645,557
marlin,tx,25820,474,32988,471,12646,464
marlow,ok,36689,620,42798,622,26282,623
marquette,mi,42531,769,63256,833,25389,727
marseilles,il,45127,819,54118,871,27292,694
marshall,il,44202,676,61484,705,28454,646
marshall,mi,48873,778,56778,843,29713,699
marshall,mn,49683,811,80540,902,26346,625
marshall,mo,37383,686,49748,709,26118,662
marshall,tx,40306,637,51549,513,27266,696
marshall,wi,63405,940,71773,969,49005,937
marshalltown,ia,48783,721,56279,805,33810,669
marshfield,mo,37203,623,53625,764,24375,573
marshfield,wi,47886,714,65861,849,28633,630
martin,tn,27177,639,58047,815,19290,602
martinsburg,pa,42341,764,47614,735,36800,784
martinsville,in,44703,694,60718,702,29590,692
martinsville,va,34990,594,44454,559,24474,618
marysville,ks,42923,617,54129,688,30110,543
marysville,oh,70446,1133,93211,1344,42610,894
marysville,wa,76428,1538,89088,1654,47658,1253
maryville,mo,31945,625,56023,596,24695,631
mascoutah,il,76290,1123,91519,1269,44519,985
mason city,ia,47203,687,55219,688,29517,686
masontown,pa,30305,625,42232,609,9185,641
massena,ny,41441,733,56544,752,24688,721
mathis,tx,34288,465,42542,413,23053,573
mattawa,wa,50821,695,56771,472,46941,721
mattoon,il,39563,657,51426,670,25324,631
mauldin--simpsonville,sc,73443,1056,83307,1095,44789,973
mauston,wi,43578,753,48803,784,37917,742
mayagüez,pr,15300,255,22249,193,7272,409
maybrook,ny,61161,1254,74244,1457,40294,1053
mayfield,ky,27225,624,43654,585,18074,637
mayodan,nc,34583,607,41867,665,24439,575
maysville,ky--oh,29565,538,54005,548,19380,534
mayville,wi,44894,788,66948,1016,24872,656
mazomanie,wi,62131,1018,71464,1222,35278,719
meadville,pa,42103,687,54594,724,25998,657
mecca,ca,25125,655,36264,666,16667,636
medford,or,47270,976,60385,1063,31948,930
medford,wi,34419,660,49567,787,20118,613
medical lake,wa,52083,921,58196,1141,25263,621
medina,ny,43581,761,54801,880,22182,637
medina,tn,62857,1132,78594,1207,54457,1070
melrose,mn,50801,871,66094,930,31017,824
memphis,tn--ms--ar,48621,951,67349,1030,30697,896
mena,ar,29319,547,35708,509,23558,560
mendota,ca,27405,800,42689,909,22770,760
mendota,il,50250,676,66795,814,25164,542
menomonie,wi,44521,763,65494,876,30328,716
merced,ca,43975,956,66339,1068,32536,908
mercer,pa,46071,676,66875,844,26136,573
meridian,ms,30756,662,45249,585,22361,704
merrill,wi,49567,659,63040,749,30891,592
mescalero park,tx,51914,906,51758,768,62625,991
mesquite,nv--az,44387,791,51822,763,33397,808
metropolis,il,33899,711,42076,698,18569,721
metter,ga,23661,602,50968,598,17575,602
mexia,tx,33817,654,41250,641,24648,683
mexico,mo,40148,650,52234,616,30079,662
meyersdale,pa,39704,596,50458,644,28942,528
miami,fl,51796,1245,66563,1260,36936,1235
miami,ok,34096,609,41434,518,24719,673
michigan city--la porte,in--mi,42704,741,55767,774,27978,712
middlebury,in,83112,976,96458,1029,45172,907
middlebury,vt,43087,984,69803,1496,26771,811
middlefield,oh,45072,819,50871,977,31875,769
middleport,oh--wv,33597,501,39507,452,17577,555
middlesborough,ky--tn--va,25523,508,35068,468,13984,536
middletown,de,94293,1507,102188,1602,57122,1152
middletown,in,45769,676,52399,644,28456,705
middletown,ny,59092,1303,81365,1536,36271,1191
middletown,oh,47680,829,61984,908,31174,773
middleville,mi,52321,943,63029,936,29439,960
midland,mi,61346,838,77066,885,32688,750
midland,tx,73630,1112,88867,1050,54581,1170
mifflinburg,pa,48162,703,55101,757,20783,657
mifflintown,pa,41571,604,60481,619,25694,600
milaca,mn,38661,708,51324,738,22969,671
milan,mi,68708,1037,76544,1159,42063,912
milan,tn,37075,731,51011,774,22413,709
milbank,sd,51106,664,60080,686,35139,635
miles city,mt,51982,709,62391,674,33958,735
milford,de,54796,969,63713,1047,33558,891
milford,nj--pa,74722,1488,88872,1837,48523,1210
milledgeville,ga,27849,674,52456,653,18133,677
millen,ga,21786,560,21354,512,21903,591
millersburg,oh,39000,625,54063,750,26610,589
millersburg,pa,48654,727,61154,799,31136,667
millinocket,me,30327,512,36845,530,18188,496
millsboro,de,41978,927,51344,938,26274,910
millsboro,pa,35423,587,40903,495,30043,659
millstadt,il,59901,1020,79345,1177,27297,815
milton,de,53424,1000,61927,1069,38125,734
milton,vt,73810,1271,85315,1303,33811,1165
milton--lewisburg,pa,48801,727,64738,809,31106,672
milwaukee,wi,54918,998,78993,1249,32438,864
minden,la,28773,620,35336,439,19772,721
minden,ne,42091,711,64438,693,33536,714
mineola,tx,41750,752,45273,669,23125,769
mineral wells,tx,39657,681,47786,564,27238,752
minerva,oh,44110,651,55523,633,32383,651
minneapolis--st. paul,mn--wi,72618,1221,92976,1382,40596,1019
minot,nd,63168,923,80309,942,43478,913
mission viejo--lake forest--san clemente,ca,100469,2173,120723,2366,67076,1935
missoula,mt,44665,863,67959,1086,29182,789
missouri valley,ia,41650,717,51641,691,23986,740
mitchell,in,40867,582,47883,628,17245,540
mitchell,sd,45433,723,64590,741,32832,718
moab,ut,48833,780,58467,745,26351,789
moapa valley,nv,64479,968,71757,995,37531,937
moberly,mo,36364,614,50531,613,16585,614
mobile,al,44035,843,59091,866,25446,825
mobridge,sd,42722,632,60608,660,28603,608
mocksville,nc,39170,699,44103,799,21854,609
modesto,ca,53141,1140,71156,1270,35396,1056
mojave,ca,33144,679,62842,567,22098,692
molalla,or,58073,1260,72161,1396,37365,984
momence,il,60203,809,67969,803,44563,812
monahans,tx,61875,621,66458,492,57452,831
monessen--california,pa,45099,643,57913,657,22376,625
monett,mo,39871,765,46899,830,24631,648
monmouth,il,39647,580,51215,587,25826,559
monmouth--independence,or,42858,997,65226,1160,25674,861
monroe,ga,35749,899,51821,977,26679,851
monroe,la,35593,717,53371,702,22538,725
monroe,mi,46085,792,56747,828,26645,748
monroe,wi,44531,734,64886,837,27427,694
monroeville,al,27225,568,44158,665,11291,495
montauk,ny,86852,1673,91154,1560,43750,2298
monterey,tn,24958,519,32008,536,19288,492
montesano--elma,wa,53388,834,71402,932,36667,759
montevideo,mn,49938,649,66694,730,35365,590
monte vista,co,35634,577,44027,582,30776,573
montezuma,ga,25625,566,36737,564,14718,553
montgomery,al,46484,867,61543,874,30384,860
montgomery,mn,58594,808,68808,857,40781,707
montgomery,pa,55100,822,65357,926,30000,770
montgomery,wv,36771,518,47146,513,22545,522
montgomery city,mo,41335,634,50776,598,30550,657
monticello,ar,29947,597,58509,552,17156,653
monticello,ga,24048,760,47950,917,16534,587
monticello,il,70691,872,79704,837,42589,996
monticello,in,42038,690,46563,694,27250,680
monticello,ia,46324,657,60208,632,37536,662
monticello,ky,30200,468,36445,450,18464,513
monticello,ny,31185,833,41852,656,25313,897
monticello--big lake,mn,71929,1228,82993,1291,37061,957
montpelier,oh,43731,681,56250,701,25066,645
montrose,co,42082,832,51201,832,32676,831
montrose,mn,72210,1245,74755,1303,56667,900
moorefield,wv,34615,568,41875,531,29386,606
moore haven,fl,30761,685,36678,530,24020,739
moorhead,ms,19695,506,23207,420,13466,539
moose lake,mn,44659,731,62857,910,23516,691
mora,mn,37807,726,45294,669,25990,748
morehead,ky,26554,596,56528,487,17163,619
morehead city,nc,52229,906,60566,959,36127,861
morgan,ut,76833,1211,79706,1328,55781,994
morgan city,la,41770,623,49448,459,33265,768
morganfield,ky,31376,606,42652,597,22382,610
morgantown,wv,44649,791,73913,777,25204,794
morrilton,ar,29906,636,58736,644,16412,580
morris,il,58915,977,81930,1103,44795,930
morris,mn,45650,743,85313,775,18591,736
morrison,il,44315,699,50000,710,26786,684
morristown,tn,40101,673,51260,673,24961,671
morro bay--los osos,ca,66683,1373,76506,1336,46553,1395
morton,ms,32088,617,34719,419,30273,750
moscow,id,35743,702,80132,1046,21355,670
moscow,pa,73147,1122,84803,1233,41029,883
moses lake,wa,49331,893,64488,985,34489,822
moultrie,ga,27429,700,47630,826,21147,643
moundville,al,51563,923,56583,972,33750,793
mountain city,tn,25641,490,31788,508,14492,446
mountain grove,mo,26282,530,42174,430,20818,542
mountain home,ar,37037,651,40833,612,30000,674
mountain home,id,46250,763,60849,828,27179,738
mountain house,ca,120439,2597,124862,2618,84807,2561
mountain lake park,md,38341,681,53810,803,17582,588
mount airy,nc--va,36883,598,46761,576,23464,622
mount angel,or,50599,808,67639,852,23750,786
mount carmel,il,42667,629,58750,672,18196,588
mount gilead,oh,31550,615,46698,821,21616,527
mount holly springs,pa,68588,1061,75313,1180,34968,807
mount hood village,or,64167,1267,73365,1224,53056,1326
mount horeb,wi,71847,1218,83689,1462,41791,858
mount morris,il,41863,595,57938,664,20864,585
mount morris,ny,40267,728,58981,816,21897,709
mount olive,nc,29926,673,54444,625,19781,689
mount orab,oh,43492,807,62083,925,21250,687
mount pleasant,ia,47270,724,67075,812,27998,653
mount pleasant,mi,31118,748,63236,834,21083,720
mount pleasant,tn,30988,660,39180,586,16717,669
mount pleasant,tx,40698,672,50847,683,27654,661
mount pocono--emerald lakes,pa,59772,1348,64236,1415,50117,1220
mount shasta--weed,ca,36292,921,52289,969,21541,886
mount sterling,il,47102,611,55357,658,28723,559
mount sterling,ky,39882,666,53806,708,24773,642
mount union,pa,29880,610,45455,651,21333,557
mount vernon,il,36839,642,47536,687,21489,625
mount vernon,in,54013,720,63109,752,30000,687
mount vernon,ia,66824,1046,85069,1195,39323,686
mount vernon,ky,20954,483,48646,598,15422,438
mount vernon,mo,31990,560,43452,562,23462,523
mount vernon,oh,41076,717,53654,737,27453,707
mount vernon,tx,37750,689,45417,633,29331,719
mount vernon,wa,53805,1069,68394,1211,35677,978
mukwonago,wi,87432,1312,96040,1480,36513,821
muldrow--roland,ok,34089,639,45078,453,23000,717
muleshoe,tx,38816,677,39901,626,29234,739
mullins,sc,21176,468,35174,572,11728,349
muncie,in,37641,676,51703,633,21938,715
muncy,pa,48779,761,59118,833,33843,691
munising,mi,34250,605,55556,655,20750,537
murfreesboro,nc,42134,670,54375,704,23000,638
murfreesboro,tn,60201,1020,80396,1100,39351,958
murphysboro,il,35523,586,45445,591,25706,583
murray,ky,28553,666,58278,807,14676,627
murrieta--temecula--menifee,ca,75725,1709,87335,1814,52397,1567
muscatine,ia,53071,842,66337,892,35014,809
muskegon,mi,46908,746,57540,759,24984,736
muskogee,ok,37010,659,52726,657,22783,659
myrtle beach--socastee,sc--nc,47484,887,55287,867,32937,902
mystic island,nj,63987,1407,70447,1442,40589,1334
nacogdoches,tx,33499,755,53287,742,23512,758
nampa,id,44755,858,52729,881,31503,825
nantucket,ma,90231,1917,114609,2207,60000,1662
nanty-glo,pa,41934,586,46465,607,21023,531
napa,ca,77763,1662,100532,1831,54695,1552
napoleon,oh,46696,713,60110,765,33613,635
nappanee,in,46018,712,65645,801,29609,668
narrows,va--wv,37588,538,40938,481,26466,579
nashua,nh--ma,79264,1453,98581,1710,48431,1194
nashville,ar,24980,473,43692,436,16667,481
nashville,ga,28661,475,38968,408,15472,545
nashville,il,50703,687,63438,747,27039,647
nashville-davidson,tn,60155,1082,78605,1172,39285,992
nassau village-ratliff,fl,60781,766,64578,806,27390,726
natchez,ms--la,30459,542,41506,492,17781,573
natchitoches,la,22384,697,55956,639,17863,708
navasota,tx,46739,604,61139,552,24426,685
nebraska city,ne,44803,709,60149,827,30649,635
needles,ca--az,34947,625,44028,636,26419,620
needville,tx,58512,796,62500,760,42330,942
nelson,ga,64707,1072,66419,1103,47500,849
nelsonville,oh,26826,669,39000,565,21100,709
neodesha,ks,40417,508,47168,527,21776,472
neosho,mo,39133,679,50000,735,26897,657
nephi,ut,56673,893,58570,967,40407,758
nevada,ia,58205,821,70246,968,36903,636
nevada,mo,33804,618,47754,588,24404,629
new albany,ms,35971,639,51696,654,25268,635
newark,ny,38386,754,54969,798,25694,698
newark,oh,44792,786,61383,851,26521,737
newaygo,mi,35632,600,48542,534,24000,659
new baden,il,75469,1079,73476,1102,93967,1022
new bedford,ma,48798,918,72787,1286,27948,811
newberg,or,62029,1325,75625,1519,38325,1051
new bern,nc,49844,942,65330,1066,31815,849
newberry,mi,33182,558,40380,480,27067,631
newberry,sc,35751,698,43372,677,30228,719
new boston,tx,40992,555,67770,702,20879,496
new bremen--minster,oh,73836,782,85479,852,35729,655
new carlisle,in,53493,837,58561,855,27917,750
new castle,co,85218,1431,67396,1477,86521,1412
new castle,in,40123,635,51070,577,25335,671
new castle,pa,41960,661,53560,675,20696,645
newcastle,wy,51364,680,59145,590,39531,832
newcomerstown,oh,40282,610,38819,453,42000,715
new concord,oh,48304,676,72917,848,19861,618
new cordell,ok,55500,593,65536,595,23500,586
newfane,ny,48028,805,53989,862,24844,666
new freedom--shrewsbury,pa--md,77526,1167,87092,1339,41005,924
new hampton,ia,39663,567,52897,509,31108,620
new haven,ct,65194,1342,91097,1585,37330,1145
new lebanon,oh,41582,755,62692,874,25341,672
new lexington,oh,31366,688,50766,777,20861,608
new london,mn,56217,941,69219,1071,34375,734
new london,wi,45775,728,63986,839,33450,649
new madrid,mo,28611,571,74438,565,16875,550
newman,ca,53278,1109,60678,1191,38551,1010
new martinsville,wv--oh,42333,508,50031,448,18449,699
new orleans,la,46647,952,64811,974,29513,942
new philadelphia--dover,oh,44213,713,53705,692,29215,728
newport,ar,28709,531,35545,488,19750,562
newport,nh,50559,923,76411,1301,31394,842
newport,or,40430,870,51962,912,31935,857
newport,pa,41818,660,55729,647,35094,662
newport,tn,23640,495,33772,520,15633,473
newport,vt,34256,799,55486,934,20868,727
newport,wa--id,34433,722,39583,493,33016,783
new prague,mn,76173,1158,86433,1339,36380,840
new richmond,oh,52778,958,77000,1158,25417,707
new richmond,wi,53684,931,75865,1098,30469,846
new roads,la,38271,628,55448,528,22460,754
new tazewell,tn,25771,421,41801,405,12684,467
newton,il,35438,546,52232,526,20964,564
newton,ia,48462,745,58239,796,31055,694
newton,ks,50672,777,60694,848,27191,717
newton,ms,27694,542,31465,488,16014,604
newton,nj,66547,1374,91394,1716,33571,1102
new ulm,mn,56095,699,67258,775,26897,594
new wilmington,pa,54167,781,69671,806,33393,746
new york--newark,ny--nj--ct,71360,1567,104630,2072,45528,1345
nicholasville,ky,47783,857,65884,931,31106,817
nipomo,ca,73183,1520,77877,1507,62066,1539
nocona,tx,32828,652,41875,646,20750,637
nogales,az,32221,673,46578,791,21906,604
nokomis,il,44844,499,50714,471,22778,634
nome,ak,79028,1546,97891,1541,58421,1561
norfolk,ne,47826,720,64531,791,27593,646
norman,ok,52054,915,76745,1067,32880,832
norris,tn,42574,569,51175,513,30705,825
north adams,ma--vt,41611,849,68118,986,24332,734
north baltimore,oh,54073,707,61106,806,33810,614
north branch,mn,70983,1146,76806,1300,23365,868
north brookfield,ma,68184,1107,80146,1261,48417,899
north conway,nh,47467,841,60471,745,31901,919
north eagle butte,sd,26438,469,30893,396,22639,550
north east,pa,48447,746,57607,757,34510,727
northern cambria,pa,45295,640,51172,625,30133,647
northfield,mn,63227,965,79529,1210,31432,776
northfield,vt,62005,878,75804,1112,25469,736
north manchester,in,44661,686,56550,660,23484,709
north platte,ne,50958,723,65086,772,34817,681
north port--port charlotte,fl,47525,837,51333,751,36603,977
north shore,ca,28542,887,27583,857,36150,934
north vernon,in,40475,697,44482,700,34635,696
north webster,in,52090,788,52625,795,46250,765
north wilkesboro--wilkesboro,nc,30208,621,45924,645,17204,611
norton,ks,52966,714,56463,650,38102,863
norton--wise,va,38940,561,56817,525,22829,592
norwalk,oh,45387,707,57188,815,27634,653
norwich,ny,40445,692,66736,770,20377,644
norwich--new london,ct--ri,63383,1202,84184,1415,38333,1061
norwood young america,mn,65389,985,72963,1154,36214,718
nowata,ok,31700,549,36552,518,19261,658
nyssa,or,43810,791,52400,822,28300,746
oakdale,la,25833,431,41813,410,16804,460
oak harbor,oh,44850,725,69250,799,30789,676
oak harbor,wa,52858,1147,67548,1267,41855,1097
oakhurst,ca,43395,982,54253,1068,24915,834
oak island,nc,54017,1025,63041,1129,35431,942
oakland,tn,69968,1111,73571,1102,53269,1244
oakland city,in,39358,600,47644,525,23500,695
oakridge,or,35750,610,40498,490,28241,807
oberlin,oh,51333,831,59611,956,34695,744
ocala,fl,41319,755,47964,672,30914,850
ocala estates,fl,25426,559,27569,332,19075,613
ocean park,wa,34758,652,37942,621,32917,693
ocean pines,md--de,61486,1130,68279,1123,41218,1140
ocean shores,wa,39602,854,48770,796,29684,886
ocean view,de,72119,954,75676,858,51648,1170
ocilla,ga,22206,511,29688,509,18728,504
oconto,wi,44297,669,51714,739,29467,632
oconto falls,wi,46176,616,63110,683,29079,578
odem,tx,44543,720,59188,607,30952,742
odessa,mo,50279,783,60938,965,21538,617
odessa,tx,59024,860,72274,737,43818,967
oelwein,ia,42194,586,50977,556,26102,613
ogallala,ne,35967,600,51144,633,23444,583
ogden--layton,ut,68266,1073,79586,1169,40026,894
ogdensburg,ny,39335,664,61779,735,21218,602
oil city,pa,41236,562,52380,530,23750,594
okeechobee--taylor creek,fl,37974,600,43029,448,26364,746
okemah,ok,30625,524,36563,436,26069,548
oklahoma city,ok,53126,899,70252,988,34955,838
okmulgee,ok,30908,532,39787,424,21869,621
olean,ny,41161,664,61575,742,24977,620
olney,il,37208,530,52564,549,21741,525
olney,tx,43173,542,59292,432,23950,583
olympia--lacey,wa,64935,1212,82829,1359,44356,1125
omaha,ne--ia,60918,1035,80900,1203,36698,875
omak,wa,44167,668,51313,686,24402,662
omro,wi,49714,860,57232,901,37768,792
onalaska,tx,39132,643,39353,576,34375,741
onawa,ia,30552,586,50893,675,21675,571
oneida,ny,49006,807,62032,919,26295,690
oneida,tn,21397,518,41280,596,11983,456
o'neill,ne,46555,656,57244,621,27420,686
oneonta,al,41074,656,52246,628,32102,660
oneonta,ny,42672,838,59796,731,26360,862
ontario,or--id,40024,730,51553,810,25372,686
oostburg,wi,59004,852,64000,995,34107,709
opelousas,la,21798,506,34114,430,13472,568
opp,al,27727,521,33375,514,20549,526
orange,va,52240,926,69798,1145,30000,864
orangeburg,sc,31784,647,45342,572,21438,674
orange city,ia,70344,764,79620,814,30579,694
orange cove,ca,24646,756,42940,876,19429,716
oregon,il,43125,709,58950,915,17961,511
oregon,wi,84167,1261,98548,1470,45135,846
orland,ca,41112,768,50635,704,23247,788
orlando,fl,53544,1131,70394,1170,38341,1106
orofino,id,37307,637,45549,570,32330,694
orosi,ca,33285,814,42500,777,27279,827
oroville,ca,37981,822,45811,776,28541,862
orrville,oh,49450,722,57042,702,31113,751
orwigsburg,pa,54886,884,59959,944,37069,758
osage,ia,53929,626,63036,715,33444,599
osage beach,mo,44837,854,67244,1107,22857,617
osage city,ks,29750,588,56450,690,21250,493
osawatomie,ks,51020,753,57752,851,31750,637
osburn,id,46442,686,54907,700,29519,676
osceola,ar,26728,603,41166,604,20420,601
osceola,ia,46487,727,52297,773,30962,693
osceola,wi,48563,891,57963,1103,35913,790
oshkosh,wi,49551,821,67152,967,30936,705
oskaloosa,ia,42188,641,55798,701,22321,619
ossian,in,59864,740,67823,777,33304,692
oswego,ny,41724,801,66820,885,24707,738
othello,wa,45677,754,57083,980,27070,688
otisville,ny,82093,1652,85243,1723,57731,911
otsego--plainwell,mi,49788,694,59222,725,29417,678
ottawa,il,50784,799,63971,900,32353,754
ottawa,ks,44281,758,53231,795,32237,750
